english,reference_odia,greedy_prediction_odia
"The six LS seats going to polls are Baleswar, Mayurbhanj, Bhadrak, Jajpur, Kendrapada and Jagatsinghpur.","ଏହି ଲୋକସଭା ଆସନ ହେଉଛି ମୟୂରଭଞ୍ଜ, ବାଲେଶ୍ଵର, ଭଦ୍ରକ, ଯାଜପୁର, କେନ୍ଦ୍ରାପଡ଼ା, ଜଗତସିଂହପୁର।","ଜିଲ୍ଲା ଗୁଡ଼ିକ ହେଲା, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ, ଭଦ୍ରକ"
"Tuticorin Port (Tamil Nadu) Authority say they have detained the former vice-president of Maldives, Ahmed Adeeb.","ଏନ୍ଆଇ ପକ୍ଷରୁ କୁହାଯାଇଛି, ତାମିଲନାଡ଼ୁର ତୁତିକୋରିନ୍ ବନ୍ଦର କର୍ତ୍ତୃପକ୍ଷ ମାଲ୍ଡିଭ୍ସର ପୂର୍ବତନ ଉପରାଷ୍ଟ୍ରପତି ଅହମ୍ମଦ ଆଦୀବ୍ଙ୍କୁ ଅଟକ ରଖିଛନ୍ତି।","ତେବେ ଏହି ମାମଲାରେ ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ, ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ, ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ, ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ, ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ, ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ, ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ, ପୂର୍ବତନ ବିଧାୟକ କୁଲଦୀପ ଯାଦବ।"
There was excessive bleeding.,ପ୍ରବଳ ରକ୍ତସ୍ରାବ ହୋଇଥିଲା।,ଯାହା ଫଳରେ ପାରେ ହୋଇ ଯାଇଥିଲା।
Police have filed a case and are investigating.,ପୁଲିସ ଏକ ମାମଲା ରୁଜୁ କରି ତଦନ୍ତ କରୁଛି।,ପୁଲିସ ଏକ ମାମଲା ରୁଜୁ କରି ତଦନ୍ତ କରୁଛି।
"In addition, there is a myriad of other security features.",ଏତଦ୍ବ୍ୟତୀତ ଏଥିରେ ସୁରକ୍ଷା ଦୃଷ୍ଟିରୁ ଅନେକ ବୈଶିଷ୍ଟ୍ୟ ରହିଛି।,ଏହା ବ୍ୟତୀତ ଅନ୍ୟ ଦେଶ ମଧ୍ୟରେ ଜଣେ ସାଧାରଣ ଜନତାଙ୍କୁ ମଧ୍ୟ ଅଛନ୍ତି।
Then he raped the girl.,ଏହାପରେ ଯୁବତୀ ତାକୁ ଚାପୁଡ଼ା ମାରିଥିଲେ।,ଏହାପରେ ସେ ଝିଅଙ୍କୁ ବିବାହ କରିଥିଲେ।
"When a law is reserved for the consideration of the President, the President shall declare either that he assents to the said law or that he withholds assent therefrom:",(୧) କୌଣସି ରାଜ୍ୟର ରାଜ୍ୟପାଳଙ୍କୁ ରିପୋର୍ଟ ମିଳିବା ପରେ ବା ଅନ୍ୟଥା ଯଦି ରାଷ୍ଟ୍ରପତି ସନ୍ତୁଷ୍ଟ ହୁଅନ୍ତି ଯେ ଏପରି ପରିସ୍ଥିତିର ଉଦ୍ଭବ ହୋଇଅଛି ଯହିଁରେ କି ରାଜ୍ୟର ଶାସନ ଏହି ସବିଧାନର ଉପବନ୍ଧମାନଙ୍କ ଅନୁସାରେ ନିର୍ବାହିତ ହୋଇ ପାରିବ ନାହିଁ ତାହାହେଲେ ରାଷ୍ଟ୍ରପତି ଉଘୋଷଣା ଦ୍ଵାରା –,"ରାଷ୍ଟ୍ରପତି କହିଲେ ଯେ ରାଷ୍ଟ୍ରପତି କହିଲେ ଯେ, “ଆପଣର ପ୍ରଥମ ଥର ପାଇଁ ଏକ ନୂତନ ଅଧ୍ୟକ୍ଷ ଭାବେ କାର୍ଯ୍ୟ କରିବେ, """"ତା'ର ମୂଳଦୁଆପଣ ଭାବେ କାର୍ଯ୍ୟ କରିବେ ବୋଲି ସେ କହିଛନ୍ତି ।"
"Then these men assembled, and found Daniel praying and making supplication before his God.",ତା'ପ ରେ ସହେି ଲୋକମାନେ ଏକତ୍ରୀତ ହାଇେ ଦାନିୟେଲ ନିକଟକୁ ଗଲେ ଓ ତାଙ୍କୁ ପରମେଶ୍ବରଙ୍କ ନିକଟରେ ପ୍ରାର୍ଥନା ଓ ନିବଦନେ କରୁଥିବାର ଦେଖିଲେ।,ଏହାପରେ ସେ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ
He said sports help in maintaining sound body and health.,କ୍ରୀଡା ଦେହ ଓ ମନକୁ ସୁସ୍ଥ ରଖିବାରେ ସାହାଯ୍ୟ କରେ ବୋଲି ଶ୍ରୀ ମିଶ୍ର ନିଜର ଉଦବୋଧନରେ କହିଥିଲେ ।,"ସେ କହିଥିଲେ ଯେ, ସ୍ୱାସ୍ଥ୍ୟ ଓ ସ୍ୱାସ୍ଥ୍ୟ ଓ ସ୍ୱାସ୍ଥ୍ୟ ଓ ସ୍ୱାସ୍ଥ୍ୟ ଭଲ ସମ୍ପର୍କ ବୃଦ୍ଧି ପାଇଥାଏ।"
The relatives demanded severe action against the accused.,ଦୋଷୀଙ୍କ ବିଋଦ୍ଧରେ ଦୃଢ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଗ୍ରହଣ କରିବାକୁ ପରିବାରବର୍ଗ ଦାବୀ କରିଛନ୍ତି।,ଅଭିଯୁକ୍ତ ବିରୋଧରେ ଦୃଢ଼ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଗ୍ରହଣ କରିଛନ୍ତି।
She then told local people of the area who then informed the police.,ଏହା ପରେ ସେ ଏ ବିଷୟରେ ଗାଁ ଲୋକଙ୍କୁ ଜଣାଇବା ପରେ ଗାଁ ଲୋକେ ସ୍ଥାନୀୟ ପୁଲିସକୁ ଏ ନେଇ ସୂଚନା ଦେଇଥିଲେ ।,ଏହାପରେ ସ୍ଥାନୀୟ ଲୋକେ ପୋଲିସକୁ ଖବର ଦେଇଥିଲେ।
"Suddenly, his foot slipped and he fell into the river.",ହଠାତ୍ ମୁଣ୍ଡବୁଲାଇବାରୁ ଗୋଡ ଖସି ନଦୀରେ ପଡିଗଲି ।,ସେ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ ନିଜ
"The accused also allegedly tried to kill the girl after raping her, the officer said.",ଝିଅକୁ ଦୁଷ୍କର୍ମ କରିବା ପରେ ଅଭିଯୁକ୍ତ ତାକୁ ବିଷ ଦେଇ ମାରି ଦେବାକୁ ଉଦ୍ୟମ କରିଥିଲା ବୋଲି ସେ ଅଭିଯୋଗ କରିଛନ୍ତି ।,ଅଭିଯୁକ୍ତ ନାବାଳିକାଙ୍କୁ ଗିରଫ କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି ହତ୍ୟା କରି କୋର୍ଟ ଚାଲାଣ କରିଛି।
Chandrika is the son of former Bihar CM Daroga Prasad Rai.,ଚନ୍ଦ୍ରିକା ରାୟ ହେଉଛନ୍ତି ବିହାରର ପୂର୍ବତନ ମୁଖ୍ୟମନ୍ତ୍ରୀ ଦାରୋଗା ପ୍ରସାଦ ରାୟଙ୍କ ପୁଅ।,ବିହାର ମୁଖ୍ୟମନ୍ତ୍ରୀ ଯୋଗୀ ଆଦିତ୍ୟନାଥଙ୍କ ପୁଅ ହେଉଛନ୍ତି।
This facility will be available for about 55 thousand petrol pumps in the country.,ଦେଶର ପ୍ରାୟ 55 ହଜାର ପେଟ୍ରୋଲ ପମ୍ପରେ ଏହି ସୁବିଧା ଉପଲବ୍ଧ ହେବ ।,ଏହି ସମୟରେ ଏହି ସଂଖ୍ୟା ୫ଟି ଦେଶରେ ୧ ଲକ୍ଷ ଟଙ୍କା ଖର୍ଚ୍ଚ ହେବ ।
It does not contain any sugar.,"ଏଥିରେ ଶର୍କରା ନଥାଏ, ।",ଏହା କୌଣସି ପ୍ରଭାବ ନାହିଁ।
"The PM should take steps accordingly,he said.",ମୁଖ୍ୟମନ୍ତ୍ରୀ ଏ ଦିଗରେ ଆବଶ୍ୟକ ପଦକ୍ଷେପ ଗ୍ରହଣ କରନ୍ତୁ ବୋଲି ସେ ଟ୍ବିଟ୍ କରି କହିଛନ୍ତି।,"ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଥିଲେ ଯେ, ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଥିଲେ ଯେ, “ଆମେ ଆବଶ୍ୟକତା ରହିଛି ବୋଲି ପ୍ରଧାନମନ୍ତ୍ରୀ କହିଛନ୍ତି।"
Bus hits bike. Two injured,"ବାଇକ୍କୁ ପିଟିଲା ବସ୍, ଦୁଇ ଗୁରୁତର",ଦୁଇ ଜଣ ଗୁରୁତର ଆହତ ହୋଇଛନ୍ତି।
Mens hockey tourney begins,ଆରମ୍ଭ ହେବ ପୁରୁଷ ହକିର କ୍ରୀଡ଼ା ମହାକୁମ୍ଭ ।, ⁇ S ⁇ S ⁇ S ⁇ A ⁇ 
He is the younger half-brother of Shahid Kapoor.,ଈସାନ ଅଭିନେତା ସାହିଦ କପୁରଙ୍କର ସାନ ଭାଇ।,ସେ ଜଣେ ପୁଅ-ବିଚାରିକ ଥିଲେ।
The intensity of the explosion was so strong that the building collapsed.,ବିସ୍ଫୋରଣ ଏତେ ଶକ୍ତିଶାଳୀ ଥିଲା ଯେ ଦୋକାନ ଘରର ଛାତ ଉଡ଼ି ଯାଇଥିଲା।,ଏହି ସମୟରେ ଏହି ସମୟରେ ଧର୍ମକୁ ନେଇ ଅନେକ ପ୍ରକାର ବ୍ୟବସ୍ଥା କରାଯାଇଛି ।
Many have lost their lives due to coronavirus.,କରୋନା ଯୋଗୁଁ ବହୁ ଲୋକ ଜୀବିକା ହରାଇଛନ୍ତି ।,ଅନେକ ଲୋକ ଘର ଜୀବନ ନଷ୍ଟ ହୋଇଯାଇଛି।
There was flourishing trade network between Greece and India as early as the 3rd century BC.,ଖ୍ରୀଷ୍ଟପୂର୍ବ 3ୟ ଶତାବ୍ଦୀରୁ ଗ୍ରୀସ୍ ଏବଂ ଭାରତ ମଧ୍ୟରେ ବାଣିଜ୍ୟ କାରବାର ହୋଇଆସୁଛି ।,ଭାରତ-ପାକିସ୍ତାନ ମଧ୍ୟରେ ଭାରତ-ଅରାଞ୍ଚଳ ବିମାନ ଚଳାଚଳ କରୁଛି ।
"Then, up popped India and Pakistan.",ଏହାପରେ ଚୀନ୍ ଓ ପାକିସ୍ତାନ ଚିନ୍ତା ପ୍ରକଟ କରିଥିଲେ ।,"ଏହାପରେ ଭାରତ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ, ପାକିସ୍ତାନ ।"
"Even though it has been inaugurated today, but the people have already started hailing it.","ଆଜି, ଉଦ୍ଘାଟନ ତ ଆଜି ହୋଇଛି କିନ୍ତୁ ଲୋକମାନେ ଏହାର ଜୟ ଜୟକାର ଲଗାତାର ଆରମ୍ଭ କରି ଦେଇଛନ୍ତି ।",ଏହା ଦ୍ୱାରା ଏହି ଯୋଜନା ଆରମ୍ଭ ହୋଇଛି ।
I extend my best wishes for Chhath Puja to the people of India as well as to my friends living here in Thailand.,ମୁଁ ଭାରତବାସୀଙ୍କ ସହିତ ହିଁ ଥାଇଲାଣ୍ଡରେ ରହୁଥିବା ମୋର ସମସ୍ତ ସାଥୀଙ୍କୁ ଛଠ୍ ପୂଜା ପାଇଁ ବହୁତ ବହୁତ ଶୁଭକାମନା ଜଣାଉଛି ।,ମୁଁ ଭାରତ ଓ ଭଉଣୀଙ୍କ ମଧ୍ୟରେ ଅନେକ ଦେଶ ମଧ୍ୟରେ ସମ୍ପର୍କ ରହିଛି ।
He was later taken into custody in Bhubaneswar.,ପରେ ତାଙ୍କୁ ଭୁବନେଶ୍ୱର ଅଣାଯାଇଥିଲା ।,ପରେ ତାଙ୍କୁ ପ୍ରଥମେ ତାଙ୍କୁ ପ୍ରଥମେ ଜେଲ ପଠାଇ ଦିଆଯାଇଥିଲା।
"And there was a famine in the land, beside the first famine that was in the days of Abraham. And Isaac went unto Abimelech king of the Philistines unto Gerar.",ଥରେ ଅବ୍ରହାମଙ୍କର ସମୟରେ ଦୁର୍ଭିକ୍ଷ ହାଇେଥିଲା। ସହେି ଦେଶ ରେ ଆଉ ସହେିଭଳି ଏକ ଦୁର୍ଭିକ୍ଷ ଦଖାଦେବୋରୁ ଇସ୍ହାକ ଗରାର ରେ ପଲେଷ୍ଟୀୟମାନଙ୍କ ରାଜା ଅବିମଲକେ ନିକଟକୁ ଗଲେ।,"""ସ """"ତୁମ୍ଭେ ସହେିଦିନ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜା ସହେିଦିନ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କ ରେ ଏକ ରାଜାଙ୍କର ରେ ଏକ ରାଜାଙ୍କର ପ୍ରଥମ ଓ ଇସିତ କଲେ।"
"However, the accused men are yet to be identified.",ମାତ୍ର ଏପର୍ଯ୍ୟନ୍ତ ଅସଦାଚରଣ କରିଥିବା ଦୁଇ ଯୁବକଙ୍କ ପରିଚୟ ଜଣାପଡ଼ି ନାହିଁ।,ତେବେ ଅଭିଯୁକ୍ତ ଫେରାର ଥିବା ଅଭିଯୋଗ ହେବା ନେଇ ଅଭିଯୋଗ ହୋଇଛି।
Wash your baby's clothes regularly and keep them sanitised.,ଶିଶୁଙ୍କ ଶୀତବସ୍ତ୍ର ନିୟମିତ ସଫା କରି ଖରାରେ ଶୁଖାନ୍ତୁ।,"""ସୀନଦାରେ ଖାଦ୍ୟକୁ ଧୋଇ ଦିଅନ୍ତୁ।"
The motive of the killings is also unclear.,ସେହିପରି ହତ୍ୟାକାଣ୍ଡର କାରଣ ଅସ୍ପଷ୍ଟ ରହିଛି।,ସେହିପରି କାଣ୍ଡାରେ ବିଗିଡ଼ି ମଧ୍ୟ ରହିଛି।
He was severely injured.,ସେ ଏଥିରେ ଅତି ଗୁରୁତର ଭାବେ ଆହତ ହୋଇଥିଲେ।,ସେ ଆହତ ହୋଇଥିଲେ।
She later went to South.,ପରେ ସେ ପଶ୍ଚିମବଙ୍ଗ ଚାଲିଯାଇଥିଲେ।,ଏହାପରେ ଦକ୍ଷିଣ ଆଫ୍ରିକାଙ୍କୁ ଭେଟିଥିଲେ।
Where is the,ଜାଗାଟି କେଉଁଠି,କେଉଁଠି ।
Despite repeated complaints nothing had been done by the authorities.,ଏନେଇ ପ୍ରଶାସନକୁ ବାରମ୍ବାର ଅଭିଯୋଗ କରାଯାଇଥିଲେ ମଧ୍ୟ କୌଣସି ସୁଫଳ ମିଳିପାରିନାହିଁ ।,ଏ ନେଇ କୌଣସି ଅଭିଯୋଗ କରିଛନ୍ତି।
Aamir Khan and Lata Mangeshwar have joined Bollywood in donating towards Maharashtra flood relief.,ବଲିଉଡ୍ ଅଭିନେତା ଆମୀର ଖାନ୍ ଓ ପ୍ରଖ୍ୟାତ ଗାୟିକା ଲତା ମଙ୍ଗେଶକର ମହାରାଷ୍ଟ୍ରର ବନ୍ୟାପୀଡ଼ିତଙ୍କୁ ସାହାଯ୍ୟ କରିବା ପାଇଁ ଆଗେଇ ଆସିଛନ୍ତି।,ମହାରାଷ୍ଟ୍ରରେ: ମହାରାଷ୍ଟ୍ରରେ ବଲିଉଡ୍ରାଟସ-ଏଡ୍-ଏଡ୍-ଏନଏଡ୍ ଏବଂ ମହାରାଷ୍ଟ୍ର: ବଲିଉଡ୍ ଅଭିନେତ୍ରୀ ପ୍ରିୟଙ୍କା ଚୋପ୍ରା ଓ ମହାରାଷ୍ଟ୍ର ମଧ୍ୟରେ ରହିଛି।
"During the three years of the Union Government, Dr Jitendra Singh said, the Department of Space has entered into MoUs with a number of other Ministries.",କେନ୍ଦ୍ର ସରକାରଙ୍କ ତିନିବର୍ଷର କାର୍ଯ୍ୟକାଳ ମଧ୍ୟରେ ମହାକାଶ ବିଭାଗ ଅନ୍ୟ ଅନେକ ମନ୍ତ୍ରଣାଳୟ ସହ ବୁଝାମଣା ପତ୍ର ସ୍ୱାକ୍ଷର କରିଛି ।,"କେନ୍ଦ୍ର ସରକାର, କେନ୍ଦ୍ର ସରକାର, ଅନ୍ୟ ତିନି ବର୍ଷ ମଧ୍ୟରେ ତିନି ଜଣାଇବାକୁ ଉଦ୍ୟମକୁ ନେଇ ବହୁମତାରୁ ତିନି ଜଣାଇବାକୁ ଉଦ୍ୟମ ଜାରି କରିଛନ୍ତି।"
There's no trust anymore.,ଏଗୁଡିକରେ ଆଉ ବିଶ୍ୱାସନୀୟତା ନାହିଁ।,ଆଉ କିଛି ନୁହେଁ।
They are our guests.,ସେମାନେ ଆମର ଅତିଥି ।,ସେମାନେ ଆମ ସମସ୍ତଙ୍କ ଭଲ।
The police had done barricading to stop the BJP workers.,ବିଜେଡି କର୍ମୀଙ୍କୁ ପୋଲିସ୍ ଅଟକାଇବାକୁ ଚେଷ୍ଟା କରିବାରୁ ଧସ୍ତାଧସ୍ତି ହୋଇଥିଲା।,ଏହି ସମୟରେ ବିଜେପି ପକ୍ଷରୁ ବ୍ୟାପକ ପୋଲିସ ପକ୍ଷରୁ ସୂଚନା ମିଳିଛି ।
"Chief Secretary Asit Kumar Tripathy, Director General of Police Abhay and senior officials participated in the meeting.","ବୈଠକରେ ମୁଖ୍ୟମନ୍ତ୍ରୀ ନବୀନ ପଟ୍ଟନାୟକ, ମୁଖ୍ୟ ଶାସନ ସଚିବ ଅସୀତ ତ୍ରିପାଠୀଙ୍କ ସମେତ ପୋଲିସ ବିଭାଗର ବରିଷ୍ଠ ଅଧିକାରୀ ସାମିଲ ହୋଇଥିଲେ ।","ଏହି ବୈଠକରେ ମୁଖ୍ୟ ଶାସନ ସଚିବ, ମୁଖ୍ୟ ଶାସନ ସଚିବ ଓ ବରିଷ୍ଠ ଅଧିକାରୀ ଉପସ୍ଥିତ ଥିଲେ।"
"Meanwhile, the three main political parties, the BJD, the BJP and the Cong, have started bracing up to finalise candidate for the bypoll.","ସେପଟେ ନିର୍ବାଚନ ତାରିଖ ଘୋଷଣା ପରେ ତିନି ପ୍ରମୁଖ ବିଜେଡି, ବିଜେପି, କଂଗ୍ରେସ ସେମାନଙ୍କ ପ୍ରାର୍ଥୀ ଚୟନ କସରତ ଆରମ୍ଭ କରିଛନ୍ତି ।","ବିଜେପି ପକ୍ଷରୁ ଦଳ, ବିଜେପି ଓ କଂଗ୍ରେସ ପ୍ରାର୍ଥୀ ତାଲିକା ଘୋଷଣା କରିଛନ୍ତି।"
But that had no effect on Bedana.,ତେବେ ତାହା ଦେବେନ୍ଦ୍ର ପ୍ରତି ସେପରି କୌଣସି ପ୍ରଭାବ ପକାଇନଥିଲା।,କିନ୍ତୁ ଏହା ଉପରେ କୌଣସି ପ୍ରଭାବ ନାହିଁ।
